"","INSTNM_ZIP","AVG(ADM_RATE_ALL)","AVG(SAT_AVG_ALL)","AVG(COSTT4_A)","AVG(C150_4)","AVG(PCTFLOAN)","AVG(UG25abv)","AVG(PAR_ED_N)","AVG(PAR_ED_PCT_1STGEN)","AVG(PCTPELL)","AVG(DEBT_MDN)","AVG(gt_25k_p6)","AVG(NONCOM_RPY_5YR_RT)","AVG(UGDS)","AVG(female)","AVG(married)","AVG(dependent)","AVG(veteran)","AVG(first_gen)","AVG(md_faminc)","AVG(pct_ba)","AVG(pct_grad_prof)","AVG(pct_born_us)","AVG(median_hh_inc)","AVG(poverty_rate)","AVG(unemp_rate)","AVG(loan_ever)"
"46","alcorn state university-39096-7500",0.4982,863.818181818182,17686.2,0.403018181818182,0.85444,0.245616666666667,1495,0.393476553636364,0.78825,14823.6363636364,0.510235649347298,0.413995352893,2921.09090909091,0.620000004768365,0.09000000357627,0.705000013113015,0.01499999966472,0.39000000059604,21750,10.4400000572204,5.82000017166137,97.3850021362304,38022.63,22.2950000762939,5.46999979019165,0.90999999642372
"47","alcorn state university-390967500",0.3458,850,28670.9630987533,0.433475,0.587502629787908,0.14915,1120.25,0.36615986925,0.353911819782575,9671.25,0.644408797758188,0.330504575067643,2465,0.59000000357627,0.080000001937145,0.794999986886975,0.01499999966472,0.374999999999995,24150,10.0599999427795,5.6650002002716,97.4200019836425,37197.395,22.7449998855591,5.65499997138977,0.89999997615814
"48","alderson broaddus college-26416",0.679395816368601,1047.4372451298,28670.9630987533,0.378666666666667,0.587502629787908,0.2299,294.666666666667,0.453168117666667,0.353911819782575,16167.5,0.644408797758188,0.330504575067643,668.75,0.59999999403953,0.139999996870755,0.665000021457665,0.04999999888241,0.45000000298023,43036,9.53999996185303,6.0550000667572,97.5200004577636,42319.59,13.7200002670287,3.97500002384186,0.9699999988079
"49","alderson broaddus college-26416-203",0.5588,956,28670.9630987533,0.4645,0.587502629787908,0.250195175645098,382,0.554973822,0.353911819782575,14434,0.644408797758188,0.330504575067643,671,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"50","alderson broaddus college-26416-2035",0.69073,989.9,31436.25,0.45072,0.809175,0.15646,379.2,0.5091760021,0.48002,15226.15,0.64232742786407,0,624.5,0.699999988079065,0.130000002682205,0.765000015497205,0.00999999977648,0.555000007152555,48754.75,9.38999986648559,5.72000002861023,97.7049980163574,43242.77,13.585000038147,3.90499997138977,0.98000001907348
"51","alderson broaddus college-264162035",0.6437,973,28670.9630987533,0.41715,0.587502629787908,0.1741,408,0.500135172,0.353911819782575,16500,0.644408797758188,0.330504575067643,682,0.6700000166893,0.11999999731779,0.77999997138977,0.01999999955296,0.51999998092651,44965,9.1899995803833,5.67000007629394,97.8000030517578,43301.96,13.6000003814697,4.07000017166137,0.94999998807907
"52","alderson broaddus university-26416-2035",0.4321,989,33057,0.4575,0.8232,0.0722,836,0.379186603,0.4818,9500,0.644408797758188,0,1032,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"53","alegent health school of radiologic technology-681221799",0.175,1050,28670.9630987533,0.51127113245952,0.587502629787908,0.1304,6.25,0,0.353911819782575,0,0.644408797758188,0.330504575067643,19,0.430000007152555,0.14499999582767,0.31999999284744,0,0.25,24252,8.6300001144409,3.67000007629394,48.3149986267089,29921.145,2.35500001907348,1.05499994754791,0.465000003576275
"54","alegent health school of radiologic technology-68124",0.35,943.333333333333,28670.9630987533,0.51127113245952,0.636975,0.45262,2.45454545454545,0,0.06316,863.636363636364,0,0,21.0909090909091,0.789999991655345,0.260000005364415,0.390000000596045,0.025000000372525,0.454999983310695,57991,18.4849996566772,8.06499981880188,95.9049987792968,62430.8,6.47000002861023,2.35000002384185,1
"55","alfred university- ny state college of ceramics-14802",0.7288,1083,28670.9630987533,0.6989,0.587502629787908,0.250195175645098,931,0.263157895,0.353911819782575,15831.5,0.644408797758188,0.330504575067643,707,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"56","alfred university-14802-120",0.728,1106,28670.9630987533,0.6877,0.587502629787908,0.250195175645098,954,0.259958071,0.353911819782575,17124,0.644408797758188,0.330504575067643,1971,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"57","alfred university-14802-1205",0.7264,1102,39155.4,0.642409090909091,0.77934,0.0454333333333333,956.727272727273,0.259224408545455,0.346433333333333,17642.7727272727,0.647508883476252,0.273706896551667,1852.18181818182,0.48999999463558,0.0249999994412,0.914999991655345,0.00999999977648,0.255000002682205,65618.75,15.2950000762939,11.5299997329711,91.620002746582,63458.68,7.8899998664856,3.75999999046325,0.99000000953674
"58","alfred university-148021205",0.7237,1092,28670.9630987533,0.63486,0.587502629787908,0.0514333333333333,954,0.2623564686,0.353911819782575,15427.2,0.644408797758188,0.330504575067643,1262.6,0.496666659911467,0.0266666660706167,0.923333346843717,0.00999999977648,0.260000005364413,68469.5,14.5066668192545,11.1400000254313,91.7100016276041,61614.7766666667,7.96666653951009,3.80999994277954,0.98666667938232
"59","alice lloyd college-41844",0.436469230769231,950.454545454545,17789.6,0.344825,0.48536,0.0429,300.764705882353,0.558249187823529,0.54725,4083.82352941176,0.504711467027658,0.207407407407333,561.411764705882,0.572000002861018,0.041999999433752,0.886000001430506,0.005999999865888,0.580000007152552,28546.3,5.03400011062622,4.2619999885559,99.2419998168945,32131.366,24.3219997406005,4.86400003433227,0.271999999880786
"60","allegheny college-16335-390",0.7438,1192,28670.9630987533,0.6624,0.587502629787908,0.250195175645098,834,0.244604317,0.353911819782575,17125,0.644408797758188,0.330504575067643,1929,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
