UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15
110918,444778,247825,388520,447953,146728,439613,215628,213640,243498,246345,451404,210368,172033,143659,150288
111081,169424,209533,164580,136774,166911,117636,152080,121150,135726,441982,217493,195003,129242,216597,194578
111188,161299,126818,217864,229115,240444,218663,435000,178396,106263,234030,166708,134097,230764,139959,209551
111391,123970,175281,167215,228194,193821,11508303,11508306,11508305,126049,20627906,20627903,20627901,20627905,20627902,146241
111948,129428,110413,143358,129525,235316,122931,153269,217402,217235,224323,166452,222178,192323,167899,232706
112075,129525,154235,166452,232706,143358,192323,224323,164447,217235,110413,153269,111948,148405,222178,217402
112084,179955,125763,146481,216667,204909,195474,233295,167996,199865,140696,228343,216524,166018,220710,210492
112127,190080,120795,233842,165705,459736,16822701,16822702,16822703,14736901,14736902,108861,21997601,219240,169099,176619
112251,228246,186867,136215,440031,186584,169424,19554401,15468802,186122,15468801,139348,110097,124283,215655,409616
112260,164465,212911,198385,121345,197133,216287,399911,115409,213385,218070,168218,123165,195304,228343,149781
112394,363934,127945,154013,451510,449481,480301,460871,226587,451060,146339,219000,180595,450492,445692,443410
112525,143853,117636,193830,239169,423643,223223,145558,204477,193405,215123,190424,148511,188580,179812,154156
112570,366368,108870,239309,202170,214971,202046,392840,163295,110370,166984,174127,177746,143048,164748,169442
113582,197151,208239,222938,458982,134811,142887,108232,234492,367194,173887,148177,458496,126702,450094,145460
113698,446932,226231,162760,197045,174899,217688,133553,210775,203775,220613,220516,205957,161165,217961,144962
113704,115214,176451,114840,443049,108861,14736902,14736901,169099,219240,233842,120795,165705,176619,190080,439862
114114,366605,436261,455178,475732,439394,448239,439020,130581,434441,444699,114585,447801,447698,460738,439914
114549,133881,132657,238661,188429,195234,446932,238458,174899,186584,166717,216852,260956,216931,239080,174817
114585,383020,436261,439020,447698,447801,444699,441308,434441,455178,366605,439914,130581,114114,454856,429094
114813,199412,195544,134945,219833,176628,197197,168290,117627,105367,192703,150163,245883,144281,207324,148335
114840,219240,176451,108861,14736901,14736902,169099,176619,120795,165705,233842,21997601,112127,190080,459736,16822703
